Error186.75694180523675 a = 1.9596, Multipliers,,68.32091088,23.50913361,0.61354226,0.591997894,0.870195631,25.49947896,43.81403432
,Coordinates,,-2.955974413,-2.298684697,-0.878498413,0.317731476,1.293318314,2.396000861,3.157130454
Multipliers,Coordinates,,TeaParty,NorthCaucus,LongRoomClub,BostonCommittee,LoyalNine,LondonEnemies,StAndrewsLodge
0.146446494,-0.802704267,Peck.Thomas,        ,1,        ,        ,        ,        ,        
0.147031212,-0.802671561,Chrysty.Thomas,        ,1,        ,        ,        ,        ,        
0.146549543,-0.802655087,Burt.Benjamin,        ,1,        ,        ,        ,        ,        
0.146785381,-0.80259687,Allen.Dr,        ,1,        ,        ,        ,        ,        
0.146655645,-0.802107499,Merrit.John,        ,1,        ,        ,        ,        ,        
0.146217928,-0.802106931,Emmes.Samuel,        ,1,        ,        ,        ,        ,        
0.146748901,-0.802030129,Pearce.Isaac,        ,1,        ,        ,        ,        ,        
0.146306297,-0.801952398,Matchett.John,        ,1,        ,        ,        ,        ,        
0.146715828,-0.801764141,Tileston.Thomas,        ,1,        ,        ,        ,        ,        
0.147123971,-0.801650165,Boit.John,        ,1,        ,        ,        ,        ,        
0.14640555,-0.801520177,Lincoln.Amos,        ,1,        ,        ,        ,        ,        
0.146887876,-0.80151452,Palms.Richard,        ,1,        ,        ,        ,        ,        
0.146881113,-0.801250734,Cleverly.Stephen,        ,1,        ,        ,        ,        ,        
0.146794779,-0.801194664,Davis.William,        ,1,        ,        ,        ,        ,        
0.14701921,-0.800867801,Champney.Caleb,        ,1,        ,        ,        ,        ,        
0.146763062,-0.800826231,White.Samuel,        ,1,        ,        ,        ,        ,        
0.147000142,-0.800737223,Symmes.John,        ,1,        ,        ,        ,        ,        
0.147263907,-0.800298842,Howe.Edward,        ,1,        ,        ,        ,        ,        
0.147506788,-0.799913732,Chadwell.Mr,        ,1,        ,        ,        ,        ,        
0.147703361,-0.799782476,Pearce.IsaacJun,        ,1,        ,        ,        ,        ,        
0.147500713,-0.799649052,Morton.Perez,        ,1,        ,        ,        ,        ,        
0.146863198,-0.799456389,Cazneau.Capt,        ,1,        ,        ,        ,        ,        
0.147609727,-0.799027636,Hammond.Samuel,        ,1,        ,        ,        ,        ,        
0.147729139,-0.798867834,Sharp.Gibbens,        ,1,        ,        ,        ,        ,        
0.147792379,-0.798796859,Sigourney.John,        ,1,        ,        ,        ,        ,        
0.147661798,-0.798442323,Gray.Wait,        ,1,        ,        ,        ,        ,        
0.147802492,-0.798357288,Ballard.John,        ,1,        ,        ,        ,        ,        
0.147618775,-0.798135521,Symmes.Eben,        ,1,        ,        ,        ,        ,        
0.14794053,-0.798059868,Gill.Moses,        ,1,        ,        ,        ,        ,        
0.148347369,-0.798027948,Greenleaf.Joseph,        ,1,        ,        ,        ,        ,        
0.147896469,-0.797878152,Hendley.William,        ,1,        ,        ,        ,        ,        
0.148057284,-0.797574959,Stoddard.Jonathan,        ,1,        ,        ,        ,        ,        
0.148744487,-0.79721196,Cooper.Samuel,        ,1,        ,        ,        ,        ,        
0.148323439,-0.796824866,Jefferds.Unknown,        ,1,        ,        ,        ,        ,        
1.167377608,-0.268772578,Young.Thomas,1,1,        ,1,        ,        ,        
1.173618463,-0.268014712,Molineux.William,1,1,        ,1,        ,        ,        
0.925700149,-0.252329708,Adams.John,        ,1,1,        ,        ,        ,        
0.933248821,-0.251549064,Hancock.Eben,        ,1,1,        ,        ,        ,        
0.932767672,-0.251413581,Church.Benjamin,        ,1,1,        ,        ,        ,        
0.884251997,-0.162883613,Tyler.Royall,        ,        ,1,        ,        ,        ,        
0.884080351,-0.162782567,Winslow.John,        ,        ,1,        ,        ,        ,        
0.883806238,-0.162495157,Phillips.Samuel,        ,        ,1,        ,        ,        ,        
1.536291356,-0.119946501,Proctor.Edward,1,1,        ,        ,        ,1,        
1.777103196,-0.099103624,Barber.Nathaniel,1,1,        ,1,        ,1,        
