,Obama-care revision    Yes,Obama-care revision    No,Tax Cuts    Yes,Tax Cuts   No,Dodd-Frank revision   Yes,Dodd-Rank revision    No,Omnibus appropriations  Yes,Omnibus appropirations    No,Gun regulatons    Yes,Gun regulatons    No,Family planning regs    Yes,Family planning regs   No,Gorsuch confirmation   Yes,Gorsuch confirmation    No,Immigration restrictions  Yes,Immigration restrictions    No,Kavanaugh confirmatuib   Yes,Kavanaugh confirmation    No,Saudi arms sales    Yes,Saudi arms sales   No,FISA rules   Yes,FISA rules    No,Military aid in Yemen  Yes,Military aid in Yemen    No,
Tester; Jon (D Montana),,1,,1,1,,1,,1,,,1,,1,,1,,1,1,,,1,1,,12
Daines; Steve (R  Montana),1,,1,,1,,,1,1,,1,,1,,,1,,,,1,,1,1,,11
Fischer; Debbie (R  Nebraska),1,,1,,1,,,1,1,,1,,1,,1,,1,,,1,1,,,1,12
Sasse; Ben (R Nebraska),1,,1,,1,,,1,1,,1,,1,,,1,1,,,1,1,,,1,12
Cortez Masto; Catherine (D Nevada),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,1,,1,,12
Rosen; Jacky (D Nevada),,1,,1,,1,1,,,1,,1,,,,1,,1,,1,1,,1,,11
Shaheen; Jeanne (D New Hampshire),,1,,1,1,,1,,,1,,1,,1,,1,,1,1,,1,,1,,12
Hassan; Maggie (D New Hampshire),,1,,1,1,,1,,,1,,1,,1,,1,,1,1,,1,,1,,12
Menendez; Bob (D New Jersey),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,,1,1,,12
Booker; Cory (D New Jersey),,1,,1,,1,,1,,1,,1,,1,,1,,1,1,,,1,1,,12
Udall; Tom (D New Mexico),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,,1,1,,12
Heinrich; Martin (D New Mexico),,1,,1,,,1,,,1,,1,,1,,1,,1,1,,,1,1,,11
Schumer; chuck (D New York),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,,1,1,,12
Gillibrand; Kirsten (D New York),,1,,1,,1,,1,,1,,1,,1,,1,,1,1,,,1,1,,12
Burr; Richard (R North Carolina),1,,1,,1,,,,1,,1,,1,,1,,1,,,1,1,,,1,11
Tillis; Thom (R North Carolina),1,,1,,1,,,1,1,,1,,1,,1,,1,,,1,1,,,,11
Hoeven; John (R North Dakota),1,,1,,1,,1,,1,,1,,1,,1,,1,,,1,1,,,1,12
Brown; Sherod (D Ohio),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,,1,1,,12
Portman; Rob (R Ohio),,,,,,,,,,,,,,,,,,,,,,,,,0
Inhofe; Jim (R Oklahoma),1,,1,,1,,1,,1,,1,,1,,,1,1,,,1,1,,,1,12
Lankford; James (R Oklahoma),1,,1,,1,,,1,1,,1,,1,,1,,1,,,1,1,,,1,12
Wyden; Ron (D Oregon),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,,1,1,,12
Merkley; Jeff (D Oregon),,1,,1,,1,,1,,1,,1,,1,,1,,1,1,,,1,1,,12
Casey; Bob (D Pennsylvania),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,1,,1,,12
Toomey; Pat (R Pennsylvania),1,,1,,1,,,,1,,1,,1,,1,,1,,,1,1,,,1,11
Reed; Jack (D Rhode Island),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,1,,1,,12
Whitehouse; Sheldon (D Rhode Island),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,1,,1,,12
Graham; Lindsey (R South Carolina),1,,1,,1,,1,,1,,1,,1,,1,,1,,,1,1,,,,11
Scott; Tim (R South Carolina),1,,1,,1,,1,,1,,1,,1,,1,,1,,,1,1,,,1,12
Thune; John (R South Dakota),1,,1,,1,,1,,1,,1,,1,,1,,1,,,1,1,,,1,11
Rounds; Mike (R South Dakota),1,,1,,1,,1,,1,,1,,1,,1,,1,,,1,1,,,1,11
Alexander; Lamar (R  Tennessee),1,,1,,1,,1,,1,,1,,1,,1,,1,,,1,1,,,1,11
Blackburn; Marsha (R Tennessee),1,,1,,1,,,1,1,,,1,,1,1,,,1,,1,1,,,1,12
Cornyn; John (R Texas),1,,1,,1,,1,,1,,1,,1,,1,,1,,,1,1,,,1,12
Cruz; Ted (R Texas),1,,1,,1,,,1,1,,1,,1,,,1,1,,,1,,1,,1,12
Leahy; Patrick (D Vermont),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,,1,1,,12
Sanders; Bernie (D Vermont),,1,,1,,1,,1,,1,,1,,1,,1,,1,1,,,1,1,,12
Warner; Mark (D Virginia),,1,,1,1,,1,,,1,,1,,1,,1,,1,,1,1,,1,,12
Kaine; Tim (D Virginia),,1,,1,1,,1,,,1,,1,,1,,1,,1,1,,,1,1,,12
Murray; Patty (D Washington),,,,,,,,,,1,,1,,1,,1,,1,1,,,1,1,,8
Cantwell; Maria (D Washington),,,,,,,,,,1,,1,,1,,1,,1,1,,,1,1,,8
Manchin; Joe (D West Virginia),,,,,,,,,,,,1,1,,1,,1,,,1,1,,1,,7
Capito; Shelley Moore (R West Virginia),,,,,,,,,,,1,,1,,1,,1,,,1,1,,,1,7
Baldwin; Tammy (D Wisconsin),,,,,,,,,,1,,1,,1,,1,,1,1,,,1,1,,8
Enzi; Mark (R Wyoming),,,,,,,,,,,1,,1,,,1,1,,,1,1,,,1,7
Barrasso; John (R Wyoming),,,,,,,,,,,1,,1,,,1,1,,,1,1,,,1,7
