,Americans,StAndrewsLodge,LoyalNine,NorthCaucus,LongRoomClub,TeaParty,BostonCommittee,LondonEnemies
Ivers.James,1,0,0,0,0,1,0,0
Jarvis.Edward,1,0,0,0,0,1,0,0
Jarvis.Charles,1,1,0,0,0,0,0,0
Jefferds.Unknown,1,0,0,1,0,0,0,0
Jenkins.John,1,0,0,0,0,1,0,0
Johnston.Eben,1,0,0,0,0,0,0,1
Johonnott.Gabriel,1,0,0,0,0,0,0,1
Kent.Benjamin,1,0,0,0,0,0,0,1
Kerr.Walter,1,1,0,0,0,0,0,0
Kimball.Thomas,1,0,0,0,0,0,0,1
Kinnison.David,1,0,0,0,0,0,0,1
Lambert.John,1,0,0,0,0,1,0,0
Lee.Joseph,1,1,0,0,0,0,0,0
Lewis.Phillip,1,1,0,0,0,0,0,0
Lincoln.Amos,1,0,0,1,0,0,0,0
Loring.Matthew,1,0,0,0,0,1,0,0
Lowell.John,1,1,0,0,0,0,0,0
Machin.Thomas,1,0,0,0,0,1,0,0
Mackay.William,1,0,0,0,0,0,1,0
MacKintosh.Capt,1,0,0,0,0,1,0,0
MacNeil.Archibald,1,0,0,0,0,1,0,0
Marett.Phillip,1,1,0,0,0,0,0,0
Marlton.John,1,1,0,0,0,0,0,0
Marshall.Thomas,1,0,0,0,0,0,0,1
Marson.John,1,0,0,0,0,0,0,1
Mason.Jonathan,1,0,0,0,0,0,0,1
Matchett.John,1,0,0,1,0,0,0,0
May.John,1,0,0,0,0,1,0,0
McAlpine.William,1,1,0,0,0,0,0,0
Melville.Thomas,1,0,0,0,0,1,0,0
Merrit.John,1,0,0,1,0,0,0,0
Milliken.Thomas,1,1,0,0,0,0,0,0
Molineux.William,1,0,0,1,0,1,1,0
Moody.Samuel,1,1,0,0,0,0,0,0
Moore.Thomas,1,0,0,0,0,1,0,0
Morse.Anthony,1,0,0,0,0,1,0,0
Morton.Perez,1,0,0,1,0,0,0,0
Mountford.Joseph,1,0,0,0,0,1,0,0
Newell.Eliphelet,1,0,0,0,0,1,0,0
Nicholls.Unknown,1,1,0,0,0,0,0,0
Noyces.Nat,1,0,0,0,0,0,0,1
Obear.Israel,1,1,0,0,0,0,0,0
Otis.James,1,0,0,0,1,0,1,0
Palfrey.William,1,1,0,0,0,0,0,0
Palmer.Joseph,1,0,0,0,0,1,0,0
Palms.Richard,1,0,0,1,0,0,0,0
Parker.Jonathan,1,0,0,0,0,1,0,0
Parkman.Elias,1,0,0,1,0,0,0,1
Partridge.Sam,1,0,0,0,0,0,0,1
Payson.Joseph,1,0,0,0,0,1,0,0
Pearce.IsaacJun,1,0,0,1,0,0,0,0
Pearce.Isaac,1,0,0,1,0,0,0,0
Peck.Samuel,1,1,0,0,0,1,0,0
Peck.Thomas,1,0,0,1,0,0,0,0
Peters.John,1,0,0,0,0,1,0,0
Phillips.John,1,1,0,0,0,0,0,0
Phillips.Samuel,1,0,0,0,1,0,0,0
Phillips.William,1,0,0,0,0,0,0,1
Pierce.William,1,0,0,0,0,1,0,0
Pierpont.Robert,1,0,0,0,0,0,1,0
Pitts.John,1,0,0,0,0,0,0,1
Pitts.Lendall,1,0,0,0,0,1,0,0
Pitts.Samuel,1,0,0,0,0,0,0,1
Porter.Thomas,1,0,0,0,0,1,0,0
Potter.Edward,1,1,0,0,0,0,0,0
Powell.William,1,0,0,0,0,0,1,1
Prentiss.Henry,1,0,0,0,0,1,0,0
Prince.John,1,0,0,0,0,1,0,0
Prince.Job,1,0,0,0,0,0,0,1
Proctor.Edward,1,0,0,1,0,1,0,1
Pulling.John,1,0,0,1,0,0,0,1
Pulling.Richard,1,1,0,0,0,0,0,0
Purkitt.Henry,1,0,0,0,0,1,0,0
Quincy.Josiah,1,0,0,0,1,0,1,0
Randall.John,1,0,0,0,0,1,0,0
Revere.Paul,1,1,0,1,1,1,0,1
Roby.Joseph,1,0,0,0,0,1,0,0
Roylson.Thomas,1,0,0,0,0,0,0,1
Ruddock.Abiel,1,0,0,1,0,0,0,1
Russell.John,1,0,0,0,0,1,0,0
Russell.William,1,0,0,0,0,1,0,0
Sessions.Robert,1,0,0,0,0,1,0,0
Seward.James,1,1,0,0,0,0,0,0
Sharp.Gibbens,1,0,0,1,0,0,0,0
Shed.Joseph,1,0,0,0,0,1,0,0
Sigourney.John,1,0,0,1,0,0,0,0
Simpson.Benjamin,1,0,0,0,0,1,0,0
Slater.Peter,1,0,0,0,0,1,0,0
Sloper.Ambrose,1,1,0,0,0,0,0,0
Smith.John,1,0,1,0,0,0,0,0
Spear.Thomas,1,0,0,0,0,1,0,0
Sprague.Samuel,1,0,0,0,0,1,0,0
Spurr.John,1,0,0,0,0,1,0,0
Stanbridge.Henry,1,1,0,0,0,0,0,0
Starr.James,1,0,0,0,0,1,0,0
Stearns.Phineas,1,0,0,0,0,1,0,0
Stevens.Ebenezer,1,0,0,0,0,1,0,0
Stoddard.Asa,1,0,0,1,0,0,0,0
Stoddard.Jonathan,1,0,0,1,0,0,0,0
Story.Elisha,1,0,0,1,0,1,0,0
Swan.James,1,0,0,1,0,1,0,0
Sweetser.John,1,0,0,0,0,0,1,0
Symmes.Eben,1,0,0,1,0,0,0,0
Symmes.John,1,0,0,1,0,0,0,0
Tabor.Philip,1,1,0,0,0,0,0,0
Tileston.Thomas,1,0,0,1,0,0,0,0
Trott.George,1,0,1,0,0,0,0,0
Tyler.Royall,1,0,0,0,1,0,0,0
Urann.Thomas,1,1,0,1,0,1,0,0
Vernon.Fortesque,1,0,0,0,0,0,0,1
Waldo.Benjamin,1,0,0,0,0,0,0,1
Warren.Joseph,1,1,0,1,1,0,0,1
Webb.Joseph,1,1,0,0,0,0,0,0
Webster.Thomas,1,1,0,0,0,0,0,0
Welles.Henry,1,1,1,0,0,0,0,0
Wendell.Oliver,1,0,0,0,0,0,1,1
Wheeler.Josiah,1,0,0,0,0,1,0,0
White.Samuel,1,0,0,1,0,0,0,0
Whitten.John,1,1,0,0,0,0,0,0
Whitwell.Samuel,1,0,0,0,0,0,0,1
Whitwell.William,1,0,0,0,0,0,0,1
Williams.Jeremiah,1,0,0,0,0,1,0,0
Williams.Jonathan,1,0,0,0,0,0,0,1
Williams.Thomas,1,0,0,0,0,1,0,0
Willis.Nathaniel,1,0,0,0,0,1,0,0
Wingfield.William,1,1,0,0,0,0,0,0
Winslow.John,1,0,0,0,1,0,0,0
Winthrop.John,1,0,0,1,0,0,0,1
Wyeth.Joshua,1,0,0,0,0,1,0,0
Young.Thomas,1,0,0,1,0,1,1,0
