,Americans,StAndrewsLodge,LoyalNine,NorthCaucus,LongRoomClub,TeaParty,BostonCommittee,LondonEnemies
Frothingham.Nathaniel,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Gammell.John,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Gill.Moses,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Gore.Samuel,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Gould.William,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Graham.James,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Grant.Moses,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Gray.Wait,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Greene.Nathaniel,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Greenleaf.Joseph,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Greenleaf.William,1,0.5,1,1,0.5,1,0.5,1
Greenough.Newn,1,0.5,0.5,1,0.5,0.5,0.5,1
Ham.William,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Hammond.Samuel,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Hancock.Eben,1,0.5,0.5,1,1,0.5,0.5,0.5
Hancock.John,1,0.5,0.5,1,1,0.5,1,1
Hendley.William,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Hewes.George,1,0.5,0.5,1,0.5,0.5,1,0.5
Hickling.William,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Hicks.John,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Hill.Alexander,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Hitchborn.Nathaniel,1,0.5,1,0.5,0.5,0.5,0.5,1
Hitchborn.Thomas,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Hobbs.Samuel,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Hoffins.John,1,0.5,0.5,1,0.5,1,1,1
Holmes.Nathaniel,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Hooton.John,1,1,0.5,0.5,0.5,0.5,0.5,1
Hopkins.Caleb,1,0.5,1,1,0.5,1,0.5,1
Hoskins.William,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Howard.Samuel,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Howe.Edward,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Hunnewell.Jonathan,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Hunnewell.Richard,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Hunstable.Thomas,1,0.5,0.5,0.5,0.5,0.5,1,1
Hunt.Abraham,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Ingersoll.Daniel,1,0.5,0.5,0.5,0.5,0.5,1,1
Inglish.Alexander,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Isaac.Pierce,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Ivers.James,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Jarvis.Edward,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Jarvis.Charles,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Jefferds.Unknown,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Jenkins.John,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Johnston.Eben,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Johonnott.Gabriel,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Kent.Benjamin,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Kerr.Walter,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Kimball.Thomas,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Kinnison.David,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Lambert.John,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Lee.Joseph,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Lewis.Phillip,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Lincoln.Amos,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Loring.Matthew,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Lowell.John,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Machin.Thomas,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Mackay.William,1,0.5,0.5,0.5,0.5,0.5,1,0.5
MacKintosh.Capt,1,0.5,0.5,0.5,0.5,1,0.5,0.5
MacNeil.Archibald,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Marett.Phillip,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Marlton.John,1,1,0.5,0.5,0.5,0.5,0.5,0.5
